gid,move_ply,move_uci,move_time,player_white,player_clock_time,opponent_clock_time,board_position,castling_rights,en_passant_targets,halfmove_clock,n_possible_moves,n_pieces,player_in_check,partition
202206026035474,30,d8d5,0.0,False,174.0,191.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206026149368,30,d8d5,1.0,False,48.0,57.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206026220380,30,d8c7,1.0,False,172.0,174.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206026353402,30,d8d5,1.0,False,168.0,170.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206026358214,30,e8g8,2.0,False,113.0,118.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206026360947,30,d8d5,1.0,False,186.0,196.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206079456421,30,d8d5,1.0,False,53.0,52.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206079625820,30,d8d5,1.0,False,167.0,176.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206079650188,30,d8d5,2.0,False,167.0,171.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206079720457,30,d8d5,5.0,False,186.0,160.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206079921986,30,d8d5,0.0,False,197.0,198.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002070436,30,d8d5,1.0,False,119.0,123.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002241718,30,d8d5,7.0,False,162.0,169.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002365999,30,e8g8,1.0,False,171.0,169.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002424223,30,d8d5,0.0,False,185.0,195.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002547121,30,d8d5,0.0,False,173.0,173.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002618845,30,d8c7,2.0,False,284.0,267.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206002915701,30,e8g8,3.0,False,185.0,196.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014189055,30,d8d5,1.0,False,46.0,53.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014443917,30,d8d5,1.0,False,171.0,174.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014547352,30,a7a5,1.0,False,174.0,173.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014602100,30,d8d5,2.0,False,192.0,195.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014647627,30,d8d5,1.0,False,186.0,191.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014681397,30,d8b6,9.0,False,581.0,575.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014795854,30,d8c7,17.0,False,1750.0,1668.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014844808,30,d8d5,0.0,False,174.0,174.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014909182,30,d8d5,0.0,False,47.0,51.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206014982377,30,d8d5,1.0,False,184.0,194.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206007299647,30,d8d5,2.0,False,121.0,107.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206007466335,30,d8d5,0.0,False,166.0,174.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
202206007596577,30,d8d5,1.0,False,120.0,100.0,r2qk2r/pp2bpp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R,kq,,2,37,26,False,202206
